iter	Passed	Remaining
554	5940	4763
555	5952	4753
556	5961	4741
557	5972	4731
558	5984	4721
559	5995	4710
560	6005	4699
561	6016	4688
562	6027	4678
563	6038	4668
564	6052	4659
565	6064	4650
566	6076	4640
567	6090	4631
568	6102	4622
569	6114	4612
570	6126	4603
571	6147	4600
572	6159	4590
573	6172	4580
574	6183	4570
575	6194	4559
576	6205	4549
577	6216	4538
578	6230	4529
579	6241	4519
580	6255	4511
581	6266	4500
582	6277	4489
583	6289	4480
584	6304	4472
585	6316	4462
586	6326	4451
587	6338	4441
588	6350	4431
589	6363	4421
590	6374	4411
591	6385	4400
592	6396	4390
593	6406	4378
594	6416	4367
595	6425	4355
596	6437	4345
597	6447	4334
598	6457	4322
599	6467	4311
600	6477	4300
601	6489	4290
602	6500	4279
603	6512	4269
604	6523	4258
605	6533	4248
606	6543	4236
607	6555	4226
608	6570	4218
609	6581	4207
610	6592	4197
611	6603	4186
612	6615	4176
613	6626	4165
614	6635	4154
615	6647	4143
616	6656	4131
617	6668	4121
618	6678	4110
619	6688	4099
620	6698	4088
621	6709	4077
622	6719	4066
623	6730	4055
624	6741	4044
625	6753	4034
626	6764	4024
627	6775	4013
628	6786	4002
629	6797	3992
630	6808	3981
631	6819	3971
632	6833	3961
633	6843	3950
634	6855	3940
635	6865	3929
636	6876	3918
637	6886	3907
638	6896	3896
639	6908	3886
640	6918	3875
641	6929	3864
642	6939	3852
643	6950	3842
644	6961	3831
645	6973	3821
646	6985	3811
647	6997	3800
648	7010	3791
649	7019	3779
650	7032	3769
651	7042	3758
652	7054	3748
653	7065	3738
654	7076	3727
655	7088	3717
656	7100	3707
657	7112	3696
658	7124	3686
659	7135	3675
660	7145	3664
661	7155	3653
662	7165	3642
663	7177	3632
664	7188	3621
665	7198	3610
666	7209	3599
667	7218	3587
668	7230	3577
669	7241	3566
670	7251	3555
671	7261	3544
672	7270	3532
673	7282	3522
674	7292	3511
675	7304	3501
676	7313	3489
677	7323	3478
678	7333	3466
679	7345	3456
680	7356	3445
681	7366	3434
682	7379	3425
683	7392	3415
684	7402	3403
685	7413	3393
686	7424	3382
687	7437	3372
688	7448	3362
689	7459	3351
690	7470	3340
691	7480	3329
692	7491	3318
693	7502	3307
694	7512	3296
695	7522	3285
696	7535	3275
697	7545	3264
698	7554	3252
699	7564	3241
700	7575	3231
701	7585	3220
702	7596	3209
703	7606	3198
704	7617	3187
705	7627	3176
706	7641	3166
707	7651	3155
708	7662	3145
709	7674	3134
710	7685	3123
711	7699	3114
712	7710	3103
713	7722	3093
714	7735	3083
715	7745	3072
716	7759	3062
717	7768	3051
718	7779	3040
719	7791	3030
720	7803	3019
721	7815	3009
722	7826	2998
723	7837	2987
724	7848	2976
725	7857	2965
726	7867	2954
727	7879	2943
728	7892	2934
729	7903	2923
730	7914	2912
731	7923	2901
732	7936	2890
733	7948	2880
734	7957	2869
735	7969	2858
736	7979	2847
737	7989	2836
738	8000	2825
739	8044	2826
740	8058	2816
741	8078	2808
742	8090	2798
743	8104	2788
744	8117	2778
745	8127	2767
746	8136	2755
747	8147	2744
748	8158	2734
749	8169	2723
750	8181	2712
751	8192	2701
752	8204	2691
753	8216	2680
754	8226	2669
755	8237	2658
756	8248	2647
757	8261	2637
758	8272	2626
759	8284	2616
760	8295	2605
761	8305	2594
762	8316	2583
763	8328	2572
764	8338	2561
765	8349	2550
766	8359	2539
767	8371	2529
768	8382	2518
769	8394	2507
770	8404	2496
771	8415	2485
772	8426	2474
773	8435	2463
774	8446	2452
775	8457	2441
776	8467	2430
777	8479	2419
778	8490	2408
779	8500	2397
780	8510	2386
781	8521	2375
782	8531	2364
783	8541	2353
784	8552	2342
785	8563	2331
786	8576	2321
787	8586	2309
788	8595	2298
789	8606	2287
790	8617	2276
791	8629	2266
792	8639	2255
793	8650	2244
794	8662	2233
795	8672	2222
796	8685	2212
797	8695	2201
798	8705	2189
799	8716	2179
800	8726	2167
801	8736	2156
802	8748	2146
803	8759	2135
804	8770	2124
805	8782	2113
806	8791	2102
807	8802	2091
808	8813	2080
809	8824	2070
810	8834	2058
811	8845	2048
812	8856	2037
813	8869	2026
814	8879	2015
815	8888	2004
816	8897	1992
817	8909	1982
818	8918	1971
819	8930	1960
820	8939	1949
821	8949	1938
822	8961	1927
823	8971	1916
824	8980	1904
825	8989	1893
826	9001	1882
827	9012	1872
828	9023	1861
829	9034	1850
830	9046	1839
831	9057	1828
832	9067	1817
833	9078	1807
834	9088	1795
835	9099	1785
836	9111	1774
837	9121	1763
838	9133	1752
839	9144	1741
840	9155	1731
841	9167	1720
842	9177	1709
843	9188	1698
844	9199	1687
845	9210	1676
846	9221	1665
847	9232	1654
848	9244	1644
849	9255	1633
850	9265	1622
851	9277	1611
852	9288	1600
853	9297	1589
854	9308	1578
855	9318	1567
856	9329	1556
857	9340	1545
858	9351	1535
859	9362	1524
860	9372	1513
861	9383	1502
862	9394	1491
863	9405	1480
864	9416	1469
865	9429	1458
866	9438	1447
867	9450	1437
868	9461	1426
869	9472	1415
870	9484	1404
871	9495	1393
872	9505	1382
873	9515	1371
874	9525	1360
875	9536	1349
876	9546	1338
877	9557	1328
878	9568	1317
879	9580	1306
880	9592	1295
881	9605	1285
882	9617	1274
883	9627	1263
884	9637	1252
885	9648	1241
886	9660	1230
887	9671	1219
888	9681	1208
889	9692	1197
890	9703	1187
891	9713	1176
892	9723	1165
893	9733	1154
894	9745	1143
895	9755	1132
896	9768	1121
897	9778	1110
898	9791	1100
899	9801	1089
900	9811	1078
901	9821	1067
902	9831	1056
903	9841	1045
904	9851	1034
905	9863	1023
906	9873	1012
907	9884	1001
908	9894	990
909	9907	979
910	9917	968
911	9928	958
912	9939	947
913	9950	936
914	9962	925
915	9973	914
916	9984	903
917	9999	893
918	10010	882
919	10024	871
920	10035	860
921	10046	849
922	10057	839
923	10072	828
924	10083	817
925	10096	806
926	10107	795
927	10120	785
928	10131	774
929	10142	763
930	10153	752
931	10165	741
932	10177	730
933	10187	719
934	10200	709
935	10212	698
936	10222	687
937	10232	676
938	10245	665
939	10256	654
940	10266	643
941	10278	632
942	10287	621
943	10299	610
944	10308	599
945	10319	589
946	10331	578
947	10342	567
948	10352	556
949	10364	545
950	10375	534
951	10387	523
952	10397	512
953	10406	501
954	10418	490
955	10430	480
956	10440	469
957	10450	458
958	10461	447
959	10473	436
960	10486	425
961	10496	414
962	10508	403
963	10518	392
964	10530	381
965	10539	370
966	10551	360
967	10563	349
968	10575	338
969	10586	327
970	10598	316
971	10610	305
972	10621	294
973	10633	283
974	10643	272
975	10654	261
976	10666	251
977	10677	240
978	10690	229
979	10700	218
980	10712	207
981	10724	196
982	10735	185
983	10746	174
984	10755	163
985	10764	152
986	10777	141
987	10789	131
988	10799	120
989	10810	109
990	10822	98
991	10833	87
992	10843	76
993	10853	65
994	10862	54
995	10873	43
996	10884	32
997	10899	21
998	10911	10
999	10921	0
